Chart,26
1,aec4a18deb8ae624a19e9a0f6ed62caef03febad
#,org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java,1797
2,b8c51689baca8415025e6b33187213ef3b1343d2
#,org/jfree/data/general/DatasetUtilities.java,755:756:757:758:759:761:762:1242:1243:1244:1245:1246:1248:1249
3,47e5b689a99f31c9d9ed88e4fa428187fc3a28eb
#,org/jfree/data/time/TimeSeries.java,1057:1058
4,6e39e8eb532298fee6981cc367ebdef9e250e1e1
#,org/jfree/chart/plot/XYPlot.java,4492:4493:4501
5,091f0e663557eb4dfa9a38a9c10539c49681d76a
#,org/jfree/data/xy/XYSeries.java,545:546:547:548
6,04384246901dcfc5d51ffb76eaf51b7fd810121e
#,org/jfree/chart/util/ShapeList.java,111
7,eb4b452b7096423df725f27806745f18b2eb320e
#,org/jfree/data/time/TimePeriodValues.java,300:302
8,d6e8421eb7c0e8c10dede30a70872526183a2284
#,org/jfree/data/time/Week.java,175
9,ec57f415752f9c68270499b1f0211cdc576ad07c
#,org/jfree/data/time/TimeSeries.java,944
10,21474cde64c08c7d19b3e78130bc53fc5443572f
#,org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java,65
11,2a72f2995e449afcab3540616daec7bca520b5c5
#,org/jfree/chart/util/ShapeUtilities.java,275
12,2d2c1df7307b4186c4a10828610fed46b95198f8
#,org/jfree/chart/plot/MultiplePiePlot.java,145
13,1ce94bbb63699e834c45a728438a7a4ccd8d4bbc
#,org/jfree/chart/block/BorderArrangement.java,455
14,01fefa9e4f998a44e7fcdb3e1190a5e08a75087d
#,org/jfree/chart/plot/CategoryPlot.java,2166:2448
#,org/jfree/chart/plot/XYPlot.java,2293:2529
15,f20a06506338600fc88325022fa2256a1365acf7
#,org/jfree/chart/plot/PiePlot.java,1378:1379:2051:2053
16,d2a57aae64b61dda43e8d7b24526841e62b9d9d5
#,org/jfree/data/category/DefaultIntervalCategoryDataset.java,207:208:338
17,5c1864b92cff5e2be460140c60ce9698918409db
#,org/jfree/data/time/TimeSeries.java,857
18,35288a8dd2b80c026b0f490505d7d5122b414b78
#,org/jfree/data/DefaultKeyedValues.java,318:320:335
#,org/jfree/data/DefaultKeyedValues2D.java,455:456:458:459
19,eda5519ef2ac635c7e9857ddfba30d1e9e6ed9e5
#,org/jfree/chart/plot/CategoryPlot.java,698:973
20,ecf5f27eaaa1a45fad060bec7c0d435102a55c49
#,org/jfree/chart/plot/ValueMarker.java,95
21,694a9e193a7dd2203b64c6b8777624590b6d5a3b
#,org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset.java,157:158:188:189:742
22,185a9ce5929dd7097998d8c74561175ea3e7be0b
#,org/jfree/data/KeyedObjects2D.java,231:233:316:317:318:319:320:345:378:379
23,c52ec6d2de0bdc8e549921e50f11c6e8dcae48c9
#,org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java,
24,82135c9ad768b03ae446b8d622c5d400e07a2c9d
#,org/jfree/chart/renderer/GrayPaintScale.java,126
25,67a2f86cabc143d593d35939bf7dc5d9a2fe3478
#,org/jfree/chart/renderer/category/StatisticalBarRenderer.java,259:260:315:316:344:345:403:404:459:460:487:488
26,cc27adf4da191e591c24832c1947613f925bd948
#,org/jfree/chart/axis/Axis.java,1192:1197
