Chart,26
1,2266
#,org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java,1797
2,2242
#,org/jfree/data/general/DatasetUtilities.java,755:756:757:758:759:761:762:1242:1243:1244:1245:1246:1248:1249
3,2227
#,org/jfree/data/time/TimeSeries.java,1057:1058
4,2183
#,org/jfree/chart/plot/XYPlot.java,4492:4493:4501
5,1696
#,org/jfree/data/xy/XYSeries.java,545:546:547:548
6,1166
#,org/jfree/chart/util/ShapeList.java,111
7,1087
#,org/jfree/data/time/TimePeriodValues.java,300:302
8,1085
#,org/jfree/data/time/Week.java,175
9,1083
#,org/jfree/data/time/TimeSeries.java,944
10,1065
#,org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java,65
11,1025
#,org/jfree/chart/util/ShapeUtilities.java,275
12,852
#,org/jfree/chart/plot/MultiplePiePlot.java,145
13,822
#,org/jfree/chart/block/BorderArrangement.java,455
14,811
#,org/jfree/chart/plot/CategoryPlot.java,2166:2448
#,org/jfree/chart/plot/XYPlot.java,2293:2529
15,749
#,org/jfree/chart/plot/PiePlot.java,1378:1379:2051:2053
16,743
#,org/jfree/data/category/DefaultIntervalCategoryDataset.java,207:208:338
17,622
#,org/jfree/data/time/TimeSeries.java,857
18,621
#,org/jfree/data/DefaultKeyedValues.java,318:320:335
#,org/jfree/data/DefaultKeyedValues2D.java,455:456:458:459
19,434
#,org/jfree/chart/plot/CategoryPlot.java,698:973
20,283
#,org/jfree/chart/plot/ValueMarker.java,95
21,231
#,org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset.java,157:158:188:189:742
22,227
#,org/jfree/data/KeyedObjects2D.java,231:233:316:317:318:319:320:345:378:379
23,210
#,org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java,
24,190
#,org/jfree/chart/renderer/GrayPaintScale.java,126
25,164
#,org/jfree/chart/renderer/category/StatisticalBarRenderer.java,259:260:315:316:344:345:403:404:459:460:487:488
26,103
#,org/jfree/chart/axis/Axis.java,1192:1197
