Lang,65
1,687b2e62b7c6e81cd9d5c872b7fa9cc8fd3f1509
#,org/apache/commons/lang3/math/NumberUtils.java,467:468:471
2,09d39029b16dee61022dc8afde4d84f523f37813
#,org/apache/commons/lang3/LocaleUtils.java,92
3,2c9c8753165dc7ce5dd1d5a6d741b445b33302c2
#,org/apache/commons/lang3/math/NumberUtils.java,593:597:601:605
4,fb47b96ab635d7cc6e9edefdddc46f1baf63b117
#,org/apache/commons/lang3/text/translate/LookupTranslator.java,31:46:51:77
5,75944e541d358d5b06ebbba3098a919fbf2539d4
#,org/apache/commons/lang3/LocaleUtils.java,97:128
6,cff0f1ae37bb2b7ab2dcdb10dec1f3cad7532e1c
#,org/apache/commons/lang3/text/translate/CharSequenceTranslator.java,95
7,e71f6dd3f2f70c640ae73d28b432b3a69ffcab4b
#,org/apache/commons/lang3/math/NumberUtils.java,452:453:454:721:722:723:724:725
8,a4a455053e7e4a77320efd6db0814f4de82d754d
#,org/apache/commons/lang3/time/FastDatePrinter.java,1098:1112:1134
9,c45d5bff75edfef6387d40e681f9dc7c9b517bbb
#,org/apache/commons/lang3/time/FastDateParser.java,144
10,afe5dff79fc23d222ba1f1481fbbf55e09d2e6da
#,org/apache/commons/lang3/time/FastDateParser.java,304:307:308:309:310:311:312:313:314
11,c821fafce06adefc040e8983fb12d49399a48627
#,org/apache/commons/lang3/RandomStringUtils.java,245
12,c9d786a4fe2639581047d878a64bab6fb24f1ab3
#,org/apache/commons/lang3/RandomStringUtils.java,230:231:232:238
13,bd59a1908a1df3364918be7b07782500616b15ac
#,org/apache/commons/lang3/SerializationUtils.java,250:251:252:268:269
14,cf7211f9d7d70d56501d8c4c827bf9ce3cac5f0b
#,org/apache/commons/lang3/StringUtils.java,788:789
15,8185a9e681d6de5f40b0ed07b40730c9761bad37
#,org/apache/commons/lang3/reflect/TypeUtils.java,219:220:221:675
16,13c7f19a5ad506340a7c8d8601ef4bf2426ab325
#,org/apache/commons/lang3/math/NumberUtils.java,458
17,b4255e6d071dc8d48bfc51037cecb29097b9a49d
#,org/apache/commons/lang3/text/translate/CharSequenceTranslator.java,83:88:89:90:94:96:97:98:101:102
18,2aa9dca994b006ccbfcb528de5ff0da6a5578411
#,org/apache/commons/lang3/time/FastDateFormat.java,495:496:498
19,0b3a8a3128890f710700d04e38df48b883d11d91
#,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,40:48:49:50:54:80
20,f08213cc4c35fd71e98aa5233fcb2db3333793a2
#,org/apache/commons/lang3/StringUtils.java,3298:3383
21,55f642725742513824975af0e5e91cb1920b6d72
#,org/apache/commons/lang3/time/DateUtils.java,265
22,0b2b82ad923b0455cde93286e3f504a1abd0863b
#,org/apache/commons/lang3/math/Fraction.java,582:583:584
23,46356183872f2cba5e340993c6d85597a4f3cdbb
#,org/apache/commons/lang3/text/ExtendedMessageFormat.java,
24,81903abbb25ff92597d5f1e3acc648d12bdee444
