Mockito,38
1,4e9d7607825c3c668fd43f19507bfead566c528c
#,org/mockito/internal/invocation/InvocationMatcher.java,123:124:125
2,80452c7a42777513c35fd30c4e12bcd7ee438fb9
#,org/mockito/internal/util/Timer.java,10
3,3eec7451d6c83c280743c39b39c77a179abb30f9
#,org/mockito/internal/invocation/InvocationMatcher.java,127:128:129:130:131:132
4,42b391d4209024292b6101048389570e4ec36b2a
#,org/mockito/exceptions/Reporter.java,424:434:677
5,42a24dde02923185db3f79ae57e7819f7d70af55
#,org/mockito/internal/verification/VerificationOverTimeImpl.java,91
6,dc205824dbc289acbcde919e430176ad72da847f
#,org/mockito/Matchers.java,122:137:152:167:182:197:212:227:244:292:309:324:339:358:373:392:407:427:442:461
7,0aaa36ce6924ca87f88e3723771413b42b80dc5a
#,org/mockito/internal/util/reflection/GenericMetadataSupport.java,379
8,5a03bf5d0c9aedac9cfbf074833167c1eca6439f
#,org/mockito/internal/util/reflection/GenericMetadataSupport.java,79
9,31f908029b8cd9b1f32bed3a41651b30ebb47b9f
#,org/mockito/internal/stubbing/answers/CallsRealMethods.java,36
10,1beeae39ac9f79d6a0db285dec311b78025ac062
#,org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java,71:87:90:94:99
11,1802cf79c482f2df29abb3d6735bcf0b16cedb7d
#,org/mockito/internal/creation/DelegatingMethod.java,55:56:60
12,7a647a702c8af81ccf5d37b09c11529c6c0cb1b7
#,org/mockito/internal/util/reflection/GenericMaster.java,20:21:22
13,2037361bea014c9ac87393eb96a95374dff46182
#,org/mockito/internal/MockHandler.java,77:81:82:83
14,9b2cf8072ece7c7629eff6037853b3e14ab5f524
#,org/mockito/internal/MockHandler.java,74:75:76:79
#,org/mockito/internal/MockitoCore.java,73
15,81a380951402d2a158af115ed616ab36e94793b8
#,org/mockito/internal/configuration/injection/FinalMockCandidateFilter.java,25:26
16,620f8faed0ad132961aae3a8671120e0929ce828
#,org/mockito/Mockito.java,827:899
#,org/mockito/internal/MockitoCore.java,32:33:35:36
17,77cb2037314dd024eb53ffe2e9e06304088a2d53
#,org/mockito/internal/creation/MockSettingsImpl.java,22:74
#,org/mockito/internal/util/MockUtil.java,45:46:47
18,8ceb04ad7317d8db24476b3b5f56ec9f658bc43a
#,org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues.java,87:89:91:93:95:97:99:101:103:105:107:109:111:113:115
19,110ffa80070bf54ab8efabdaaa27b193a93d6128
#,org/mockito/internal/configuration/injection/PropertyAndSetterInjection.java,114
#,org/mockito/internal/configuration/injection/filter/FinalMockCandidateFilter.java,23
#,org/mockito/internal/configuration/injection/filter/MockCandidateFilter.java,15
#,org/mockito/internal/configuration/injection/filter/NameBasedCandidateFilter.java,23:31:33:34:35:36:37:38:39:40:41:42:43
#,org/mockito/internal/configuration/injection/filter/TypeBasedCandidateFilter.java,20:28
20,7616cd17d5e1dc7c3dee080c6969183821d4797a
#,org/mockito/internal/creation/bytebuddy/ByteBuddyMockMaker.java,32:33:34:45
21,8912aa176ea8414c2fc57df0d9b030b918630e9f
#,org/mockito/internal/creation/instance/ConstructorInstantiator.java,17:20:24:25:26:29
22,d0c872e4b0837aef1e1635bf5f15d33c3d8d9698
#,org/mockito/internal/matchers/Equality.java,13
23,82935114a09390cbab0c6b6df9b6fd6788bf55d9
#,org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java,44:45:48:49:50:51:52:99:100:114
24,c17169c2cbb0b3d055d64ec2c4859122ca919c42
#,org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues.java,76
25,a6ccf070a267e0a165b8efaaefa8938e787bb6a0
#,org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java,53:56:68:81:82:83
26,af44738c7de74f24e37ea0c1242e73b07c3f4362
#,org/mockito/internal/util/Primitives.java,66
27,a8ec4fa290bc1cdde060218d6bb811ac1fa6da6f
#,org/mockito/internal/util/MockUtil.java,64:65
28,0464f5657dc8c76a4ff209a2cf7fd6312885cdc3
#,org/mockito/internal/configuration/DefaultInjectionEngine.java,93:94
29,918f0a5aed6454b307004b6c9c86afc8e96353ff
#,org/mockito/internal/matchers/Same.java,29
30,3c924f80a4db3692a13341f0da4517052ab77a2a
#,org/mockito/exceptions/Reporter.java,438:441:442
#,org/mockito/internal/stubbing/defaultanswers/ReturnsSmartNulls.java,56
31,62b6bdf44baeee172b2b1684835fb995bad2a47d
#,org/mockito/internal/stubbing/defaultanswers/ReturnsSmartNulls.java,60
32,4f7060cc54bb50292ccfbf3b9fca27f0282abf51
#,org/mockito/internal/configuration/SpyAnnotationEngine.java,49
33,5cb37751c0aba81d025dc5fe4f2f9a3bf86cc958
#,org/mockito/internal/invocation/InvocationMatcher.java,97:98:99:100
34,e8cebe01abae49a09aadd6a26c6f7e2f90e5e772
#,org/mockito/internal/invocation/InvocationMatcher.java,106
35,27a2f515197d4688c4df82afb791bf8ce20a5504
#,org/mockito/Matchers.java,362:479:516
36,84c142f56fe971ed52ecfe42b42bc0aa7bef8354
#,org/mockito/internal/invocation/Invocation.java,202
37,c0222c2dbfbd2b053961a46e4c2a3973aec55a75
#,org/mockito/internal/stubbing/answers/AnswersValidator.java,27:28
38,c1f2c4e6b5bab4cfc004f22999e11e8ac140d377
#,org/mockito/internal/verification/argumentmatching/ArgumentMatchingTool.java,48
