Time,27
1,9a62b06be5d0df8e833ff8583398cca386608cac
#,org/joda/time/Partial.java,217:221
#,org/joda/time/field/UnsupportedDurationField.java,227:228:229
2,8612f9e5b88c1bea933ef9ab1e431f5db3006b48
#,org/joda/time/Partial.java,218:449
#,org/joda/time/field/UnsupportedDurationField.java,227
3,8d109fe1a999a11b4557536dd96f9210460a5936
#,org/joda/time/MutableDateTime.java,639:640:660:661:681:682:702:703:723:724:764:765:785:786:816:817:847:848:880:881
4,3ba9ba799b3261b7332a467a88be142c83b298fd
#,org/joda/time/Partial.java,464
5,a6cb59ed2280ab0a32995fa8b5f1a7b0d47cb815
#,org/joda/time/Period.java,1628:1629:1630:1631:1632:1633:1634:1635
6,28aeba952e838fb12c9b934ce6ef65658e45d7b2
#,org/joda/time/chrono/GJChronology.java,196:979:1001
7,1adb1e69863dcd1ff282692bf1452c422528eeb9
#,org/joda/time/format/DateTimeFormatter.java,708:709:710
8,362ed1787724cda3ded37de2b0aa0f13adf0a66e
#,org/joda/time/DateTimeZone.java,279:282:286
9,96f586cb8dac7eee62e9be519a3eab125c47bb23
#,org/joda/time/DateTimeZone.java,258:263:265:267:283
10,3a413d7844c22dc6ddd50bf5d0d55ff3589e47ac
#,org/joda/time/base/BaseSingleFieldPeriod.java,104
11,57eb4cbb9044771cd46a9eee0c62016618930226
#,org/joda/time/tz/ZoneInfoCompiler.java,68:69:70:71
12,77a6b3a44da7ae4af62e88b4b27eeefec2d768c2
#,org/joda/time/LocalDate.java,210:211:212:243:244
#,org/joda/time/LocalDateTime.java,199:200:201:236:237
13,5d08a1cdbfa6ce86a0baf637493c464e91e91968
#,org/joda/time/format/PeriodFormatterBuilder.java,1098:1133:1134:1139:1142
14,2ea856328ed5710537778d755a5ff52a6831a2ee
#,org/joda/time/chrono/BasicMonthOfYearDateTimeField.java,209:210
15,0cefc4c212e92e5dccdfa658785c419483317558
#,org/joda/time/field/FieldUtils.java,138
16,706513d59425e7a9dc6bdb972f25b03b02e48558
#,org/joda/time/format/DateTimeFormatter.java,709
17,a8913f5ad5dfde59263c981c9e9eb28e43fd2e00
#,org/joda/time/DateTimeZone.java,1167:1168:1169:1174:1175:1176:1177:1178:1179:1180
18,b609d7d66d180f2eb537b27f5d605d0596e096ce
#,org/joda/time/chrono/GJChronology.java,364:367
19,82c5e4f9550e4df36e07b66f35f7c3e9d7eb5eba
#,org/joda/time/DateTimeZone.java,900
20,a92450e88df85d6b7a0fa53517da46286c24f53f
#,org/joda/time/format/DateTimeFormatterBuilder.java,2541:2542:2544:2545:2546:2548
21,0973b46039c4db0be3a969d36c220dee1e1fb4da
#,org/joda/time/tz/DefaultNameProvider.java,65:66:71:72:76:77:79:81:82:83:84
22,57c8aaf94b95323c295dcfec5f40f181846164e7
#,org/joda/time/base/BasePeriod.java,222:223:224
23,14dedcbc04682c1b1b6c5ebe91bc930b79eeb572
#,org/joda/time/DateTimeZone.java,563:564:565:566:567:568:569:570:571:572:573:574:575:576:577:578:579:580:581:582:583:584:585:586:587:588:589:590:591:592:593:594:595
24,d50efdf75a8daeced88d79b168f68d189fb87e13
#,org/joda/time/format/DateTimeParserBucket.java,355
25,552be4b677ec30a34d04d234395ba1a8c7beaacf
#,org/joda/time/DateTimeZone.java,900
26,c7a581e55fc988bd90fa4bb1b0acece5181b7c5f
#,org/joda/time/chrono/ZonedChronology.java,436:448:460:467:481:528:540
27,e0559c503f65641b9546c37e7c84c866caf37e66
#,org/joda/time/format/PeriodFormatterBuilder.java,801:804
